carrier,mape,mae,r2,mse,rmse
onwind,1.7014,14.0806,0.9756,652.1820,25.5379
solar,2.2595,19.9910,0.9717,1000.1403,31.6250
H2,7.8055,10.6626,0.9086,178.8293,13.3727
battery,5.6481,8.7391,0.9814,128.9635,11.3562
transmission,2.2581,10.1846,0.7758,149.0180,12.2073
offwind,17.4610,4.7329,0.9525,76.6153,8.7530
wind,1.6837,14.3909,0.9737,470.8503,21.6991
tsc,0.4683,0.9379,0.9884,1.6461,1.2830
gini,12.4634,0.0410,-0.0109,0.0023,0.0481
