carrier,mape,mae,r2,mse,rmse
onwind,2.5599,22.3651,0.9805,876.0664,29.5984
solar,2.9456,11.9246,0.9640,249.9423,15.8096
H2,3.4766,3.7871,0.9787,23.0857,4.8048
battery,8.5891,7.5907,0.9741,108.5334,10.4179
transmission,0.8366,4.3512,0.8929,29.6044,5.4410
offwind,12.1306,12.2401,0.9736,279.5661,16.7202
wind,1.2506,12.1883,0.9811,246.2608,15.6927
tsc,0.4822,0.9211,0.9879,1.5799,1.2569
gini,16.2530,0.0476,-0.0077,0.0033,0.0571
