carrier,mape,mae,r2,mse,rmse
onwind,2.5368,21.6967,0.9824,888.2424,29.8034
solar,2.6667,12.6331,0.9783,269.3356,16.4114
H2,3.7246,2.8380,0.9822,15.4355,3.9288
battery,3.8024,9.8495,0.9931,173.5173,13.1726
transmission,1.0742,4.3326,0.8975,29.4594,5.4277
offwind,10.2580,11.3751,0.9707,293.8091,17.1409
wind,1.3546,13.0879,0.9846,263.8124,16.2423
tsc,0.4842,0.9345,0.9879,1.5846,1.2588
gini,15.4148,0.0423,-0.0080,0.0031,0.0560
