carrier,mape,mae,r2,mse,rmse
onwind,5.2166,14.5727,0.9926,350.5057,18.7218
solar,3.2713,18.3465,0.9621,567.7426,23.8273
H2,4.7948,5.3456,0.9529,60.4612,7.7757
battery,8.0192,8.5677,0.9768,142.0091,11.9168
transmission,1.6297,6.4498,0.8600,71.9570,8.4827
offwind,3.6985,14.9200,0.9672,648.5619,25.4669
wind,2.0749,14.2025,0.9425,429.8229,20.7322
tsc,0.5047,1.0120,0.9849,2.1085,1.4521
gini,25.4923,0.0378,0.0970,0.0023,0.0479
