carrier,mape,mae,r2,mse,rmse
onwind,3.8735,15.9742,0.9937,396.4867,19.9120
solar,4.0624,15.2423,0.9403,391.8284,19.7947
H2,2.9328,3.1461,0.9812,16.7710,4.0952
battery,8.8595,7.5553,0.9665,114.3506,10.6935
transmission,1.5600,5.9507,0.9045,58.5477,7.6516
offwind,2.8066,10.8205,0.9917,199.1723,14.1128
wind,1.8063,14.4135,0.9725,298.4023,17.2743
tsc,0.4799,0.9446,0.9882,1.6059,1.2672
gini,36.7858,0.0467,-0.0032,0.0032,0.0566
