carrier,mape,mae,r2,mse,rmse
onwind,3.5060,19.4385,0.9869,705.0325,26.5524
solar,3.2555,20.9849,0.9652,671.1072,25.9057
H2,3.8797,4.6299,0.9743,37.9339,6.1591
battery,6.7258,7.6514,0.9838,117.9531,10.8606
transmission,0.9865,4.0059,0.9399,23.8959,4.8883
offwind,7.2534,15.8095,0.9708,435.9309,20.8790
wind,1.0785,8.3305,0.9897,140.7870,11.8654
tsc,0.4947,0.9520,0.9873,1.6884,1.2994
gini,23.5108,0.0501,0.0543,0.0036,0.0603
