carrier,mape,mae,r2,mse,rmse
onwind,5.1911,21.8739,0.9856,724.2478,26.9119
solar,3.2894,24.5317,0.9602,894.9195,29.9152
H2,4.6771,5.7662,0.9643,58.0750,7.6207
battery,7.2410,9.2186,0.9778,165.6294,12.8697
transmission,1.0567,4.2640,0.9356,27.3673,5.2314
offwind,7.2987,19.5173,0.9635,543.6678,23.3167
wind,1.4045,9.6742,0.9867,161.4322,12.7056
tsc,0.4825,0.9492,0.9877,1.6379,1.2798
gini,19.1319,0.0399,0.0904,0.0025,0.0502
