carrier,mape,mae,r2,mse,rmse
onwind,0.5250,5.7972,0.9919,151.5336,12.3099
solar,2.4975,14.5013,0.9732,581.6444,24.1173
H2,4.6485,4.9059,0.9517,47.3492,6.8811
battery,5.2288,6.9654,0.9841,92.7068,9.6284
transmission,1.5357,6.8106,0.8805,76.1573,8.7268
offwind,141.0723,2.9690,0.4808,51.0936,7.1480
wind,0.7044,7.7928,0.9897,181.1158,13.4579
tsc,0.4718,0.9463,0.9892,1.5960,1.2633
gini,22.7415,0.0578,0.0460,0.0047,0.0686
