carrier,mape,mae,r2,mse,rmse
onwind,1.0594,11.6598,0.9905,247.9478,15.7464
solar,2.7530,9.4537,0.9647,182.5849,13.5124
H2,2.6196,2.9588,0.9832,13.6357,3.6927
battery,7.4442,6.4839,0.9798,68.8295,8.2964
transmission,1.2350,4.8463,0.8764,36.3978,6.0331
offwind,16.1119,6.5564,0.9700,91.1621,9.5479
wind,0.6029,6.8811,0.9935,81.5562,9.0308
tsc,0.4737,0.9031,0.9877,1.5600,1.2490
gini,12.3371,0.0336,-0.0136,0.0019,0.0432
