carrier,mape,mae,r2,mse,rmse
onwind,7.3756,14.7911,0.9899,384.7731,19.6156
solar,3.2874,19.1841,0.9635,588.1798,24.2524
H2,5.2257,5.7813,0.9445,72.4569,8.5122
battery,9.2823,10.3701,0.9687,195.8370,13.9942
transmission,1.7018,6.7364,0.8527,78.6550,8.8688
offwind,3.0605,13.7897,0.9840,279.5174,16.7188
wind,1.7865,11.6322,0.9626,200.9067,14.1742
tsc,0.4636,0.9444,0.9890,1.6513,1.2850
gini,26.3625,0.0371,0.0480,0.0023,0.0474
