carrier,mape,mae,r2,mse,rmse
onwind,3.4153,29.9938,0.9670,1346.6253,36.6964
solar,4.3024,16.3890,0.9336,450.0507,21.2144
H2,4.5375,4.6903,0.9727,36.0477,6.0040
battery,9.2577,8.9500,0.9723,139.6061,11.8155
transmission,0.3545,2.7443,0.9636,12.1481,3.4854
offwind,19.8142,17.8290,0.9525,484.2950,22.0067
wind,1.6054,15.5434,0.9683,361.8325,19.0219
tsc,0.4671,0.9535,0.9889,1.6442,1.2823
gini,12.3668,0.0418,0.0528,0.0027,0.0523
