carrier,mape,mae,r2,mse,rmse
onwind,3.2679,27.8278,0.9723,1419.3742,37.6746
solar,2.3734,13.3237,0.9729,315.4518,17.7610
H2,8.6176,1.5200,0.9853,4.5986,2.1444
battery,3.1345,10.3579,0.9865,178.4660,13.3591
transmission,1.2150,5.5899,0.7586,51.0443,7.1445
offwind,10.9118,15.7799,0.9636,466.4014,21.5963
wind,1.4191,14.1369,0.9747,346.5578,18.6161
tsc,0.4681,0.9537,0.9882,1.6780,1.2954
gini,18.6608,0.0479,-0.0081,0.0031,0.0559
