carrier,mape,mae,r2,mse,rmse
onwind,3.1321,27.5825,0.9821,1149.0855,33.8982
solar,1.7700,8.7842,0.9720,154.2713,12.4206
H2,2.3796,3.3871,0.9757,20.2457,4.4995
battery,11.5979,9.6118,0.9559,174.5414,13.2114
transmission,1.1158,2.5780,0.9451,10.4523,3.2330
offwind,8.7828,14.0709,0.9748,306.9741,17.5207
wind,1.5825,16.4718,0.9812,411.7347,20.2912
tsc,0.4791,0.9418,0.9875,1.6273,1.2757
gini,20.4614,0.0207,-0.0446,0.0006,0.0242
