carrier,mape,mae,r2,mse,rmse
onwind,3.2676,28.8042,0.9697,1251.6091,35.3781
solar,3.2600,12.9323,0.9559,273.2778,16.5311
H2,3.7898,3.9667,0.9788,25.3400,5.0339
battery,8.2858,7.7610,0.9771,110.4947,10.5116
transmission,0.5156,3.4045,0.9415,17.4110,4.1726
offwind,17.0162,15.5861,0.9618,383.7282,19.5890
wind,1.5137,14.7302,0.9724,322.1255,17.9479
tsc,0.4839,0.9504,0.9875,1.6914,1.3005
gini,14.9101,0.0459,-0.0089,0.0028,0.0532
