carrier,mape,mae,r2,mse,rmse
onwind,2.6078,22.4285,0.9819,1013.6011,31.8371
solar,3.4084,15.5003,0.9599,417.8444,20.4412
H2,3.1584,1.8036,0.9928,5.3453,2.3120
battery,3.9506,8.2646,0.9899,166.2519,12.8939
transmission,1.2498,5.4349,0.7922,48.6600,6.9757
offwind,8.9961,11.8117,0.9746,317.0153,17.8049
wind,1.3563,13.4458,0.9808,324.6284,18.0174
tsc,0.4929,0.9493,0.9874,1.6535,1.2859
gini,14.2487,0.0376,-0.0110,0.0023,0.0478
