carrier,mape,mae,r2,mse,rmse
onwind,0.5890,8.1536,0.9900,133.3276,11.5468
solar,18.9064,49.4672,0.4975,5031.3808,70.9322
H2,4.1194,4.5328,0.9396,36.7385,6.0612
battery,13.7489,10.8329,0.9223,248.8124,15.7738
transmission,4.4534,15.5632,0.5906,501.3186,22.3901
offwind,50.8342,2.6058,0.7724,32.6359,5.7128
wind,7.1772,95.1220,0.5009,17365.1628,131.7769
tsc,1.5378,3.0527,0.8808,16.6711,4.0830
gini,21.0374,0.0424,-0.0097,0.0026,0.0511
