carrier,mape,mae,r2,mse,rmse
onwind,3.0408,25.3013,0.9774,1133.2231,33.6634
solar,3.8305,18.9714,0.9521,726.4546,26.9528
H2,13.7746,8.6024,0.7488,337.4877,18.3708
battery,2.7477,12.2834,0.9963,250.8365,15.8378
transmission,1.3725,5.4184,0.8879,47.2915,6.8769
offwind,10.9061,11.8666,0.9697,304.7673,17.4576
wind,1.9107,17.9772,0.9689,541.8310,23.2773
tsc,1.0951,2.1877,0.9205,11.4313,3.3810
gini,14.9653,0.0421,-0.0079,0.0032,0.0565
