carrier,mape,mae,r2,mse,rmse
onwind,2.7250,22.0062,0.9778,817.6084,28.5939
solar,2.0233,9.3504,0.9789,151.4577,12.3068
H2,0.8837,2.3008,0.9956,10.6079,3.2570
battery,11.4018,2.5920,0.9821,16.0808,4.0101
transmission,1.1314,4.1951,0.9464,24.9721,4.9972
offwind,11.1983,10.5319,0.9720,236.5811,15.3812
wind,1.4129,12.7385,0.9778,259.8239,16.1191
tsc,0.4947,0.9946,0.9872,1.7967,1.3404
gini,24.7516,0.0676,-0.0042,0.0060,0.0771
