carrier,mape,mae,r2,mse,rmse
onwind,3.9521,34.6035,0.9647,2138.8209,46.2474
solar,2.5994,10.8190,0.9766,208.4314,14.4372
H2,2.5967,1.2749,0.9930,2.9667,1.7224
battery,3.2991,3.7439,0.9940,25.8031,5.0797
transmission,1.1455,5.3883,0.7977,48.0345,6.9307
offwind,9.2791,17.6800,0.9610,553.3977,23.5244
wind,1.7267,18.4085,0.9665,591.1307,24.3132
tsc,0.4768,0.9548,0.9887,1.6156,1.2710
gini,14.9948,0.0358,-0.0148,0.0017,0.0414
