carrier,mape,mae,r2,mse,rmse
onwind,2.7100,13.8840,0.9946,324.9081,18.0252
solar,2.7612,14.4042,0.9746,360.1827,18.9785
H2,3.4497,3.9636,0.9763,30.8519,5.5544
battery,7.4782,7.2908,0.9805,110.7038,10.5216
transmission,1.1516,4.5710,0.9223,35.1476,5.9285
offwind,3.2678,9.0143,0.9920,162.0187,12.7287
wind,1.2448,9.8113,0.9853,178.2885,13.3525
tsc,0.4868,0.9406,0.9884,1.5460,1.2434
gini,30.7375,0.0539,0.0497,0.0037,0.0605
