carrier,mape,mae,r2,mse,rmse
onwind,5.0826,19.0519,0.9878,541.1346,23.2623
solar,0.6520,5.8289,0.9972,61.0741,7.8150
H2,5.5797,7.1152,0.9497,82.5771,9.0872
battery,6.0907,8.8133,0.9785,156.9877,12.5295
transmission,1.1422,4.5398,0.9120,33.7810,5.8121
offwind,6.2113,16.4933,0.9704,383.7985,19.5908
wind,1.5436,9.8847,0.9854,161.0812,12.6918
tsc,0.4726,0.9466,0.9881,1.6838,1.2976
gini,15.3060,0.0338,-0.0142,0.0018,0.0423
