carrier,mape,mae,r2,mse,rmse
onwind,1.2881,13.6936,0.9657,326.2029,18.0611
solar,2.3135,11.0740,0.9757,222.3115,14.9101
H2,3.1209,3.6192,0.9782,20.9011,4.5718
battery,6.8276,7.2227,0.9821,93.6371,9.6766
transmission,0.7637,3.2362,0.8922,17.8557,4.2256
offwind,46.9194,6.2249,0.8808,122.2285,11.0557
wind,1.0169,10.9455,0.9617,206.5779,14.3728
tsc,0.4910,0.9456,0.9881,1.6083,1.2682
gini,9.7940,0.0310,-0.0177,0.0014,0.0379
