carrier,mape,mae,r2,mse,rmse
onwind,2.6420,22.3003,0.9818,934.3720,30.5675
solar,3.0059,14.8272,0.9730,371.3765,19.2711
H2,4.9495,3.1907,0.9800,18.6334,4.3166
battery,3.2771,11.9878,0.9948,238.4123,15.4406
transmission,1.1541,4.6285,0.8953,35.5707,5.9641
offwind,10.3928,11.3544,0.9711,294.8001,17.1697
wind,1.4498,13.8213,0.9828,302.3487,17.3882
tsc,0.4738,0.9295,0.9877,1.6131,1.2701
gini,13.8924,0.0396,-0.0095,0.0026,0.0514
