carrier,mape,mae,r2,mse,rmse
onwind,2.9335,24.4048,0.9786,1066.9876,32.6648
solar,3.3847,17.0627,0.9649,488.6724,22.1059
H2,6.8609,3.4620,0.9773,21.2097,4.6054
battery,2.4723,13.3290,0.9963,304.6485,17.4542
transmission,1.2658,5.0292,0.9038,39.6876,6.2998
offwind,11.1662,11.9185,0.9672,315.3763,17.7588
wind,1.6161,15.1694,0.9797,357.4211,18.9056
tsc,0.4676,0.9532,0.9883,1.7050,1.3058
gini,12.4352,0.0365,-0.0115,0.0022,0.0469
