carrier,mape,mae,r2,mse,rmse
onwind,2.3178,15.6549,0.9818,492.5716,22.1940
solar,0.5564,7.3569,0.9976,103.0841,10.1530
H2,2.9265,3.0650,0.9815,15.8569,3.9821
battery,4.6707,6.9481,0.9787,109.6041,10.4692
transmission,1.0497,3.9622,0.8479,25.7171,5.0712
offwind,10.9649,9.1543,0.9694,182.2864,13.5013
wind,1.1691,8.8725,0.9851,135.0880,11.6227
tsc,0.4713,0.9640,0.9880,1.6690,1.2919
gini,22.8989,0.0497,-0.0073,0.0035,0.0588
