carrier,mape,mae,r2,mse,rmse
onwind,2.8446,24.9951,0.9766,1011.8243,31.8092
solar,2.9501,11.8148,0.9632,227.4581,15.0817
H2,3.6847,4.0260,0.9786,25.4641,5.0462
battery,9.0145,7.9029,0.9747,113.4907,10.6532
transmission,0.7150,4.0904,0.9106,26.3859,5.1367
offwind,14.2902,13.7654,0.9690,320.8178,17.9114
wind,1.3101,12.7737,0.9789,259.6274,16.1130
tsc,0.4885,0.9400,0.9876,1.6175,1.2718
gini,16.2232,0.0486,-0.0080,0.0031,0.0560
