carrier,mape,mae,r2,mse,rmse
onwind,3.8531,28.1598,0.9370,1942.3049,44.0716
solar,0.6529,7.6276,0.9967,110.8142,10.5268
H2,3.4644,3.6850,0.9724,25.4955,5.0493
battery,7.3091,9.6978,0.9478,260.8989,16.1524
transmission,1.4233,5.3916,0.6598,62.3547,7.8965
offwind,15.0537,12.2882,0.9450,363.8347,19.0745
wind,11.0094,83.3972,0.3439,28884.9121,169.9556
tsc,0.8332,1.6613,0.9439,8.3789,2.8946
gini,20.1908,0.0471,-0.0079,0.0032,0.0563
