carrier,mape,mae,r2,mse,rmse
onwind,2.4631,15.8885,0.9905,536.4826,23.1621
solar,3.1266,17.7474,0.9644,566.5183,23.8016
H2,3.1388,3.7864,0.9799,25.7669,5.0761
battery,7.1099,6.9178,0.9830,91.9056,9.5867
transmission,0.9625,3.9098,0.9343,24.9663,4.9966
offwind,6.1888,11.6244,0.9821,269.3401,16.4116
wind,0.9461,7.8805,0.9925,110.5632,10.5149
tsc,0.4953,0.9441,0.9873,1.5749,1.2549
gini,25.6499,0.0559,-0.0054,0.0046,0.0680
