carrier,mape,mae,r2,mse,rmse
onwind,6.8322,23.2588,0.9809,812.6538,28.5071
solar,3.4407,28.5896,0.9497,1239.4091,35.2052
H2,5.2579,6.9105,0.9487,80.6501,8.9805
battery,6.9346,9.3482,0.9749,168.6026,12.9847
transmission,1.1208,4.4911,0.9291,31.0622,5.5734
offwind,7.5660,22.1359,0.9451,701.4439,26.4848
wind,1.6057,10.1639,0.9852,157.5195,12.5507
tsc,0.4690,0.9398,0.9881,1.6271,1.2756
gini,16.3367,0.0344,-0.0132,0.0019,0.0438
