carrier,mape,mae,r2,mse,rmse
onwind,2.9026,24.2633,0.9805,1046.7775,32.3539
solar,3.7824,18.8618,0.9487,687.0517,26.2117
H2,14.2956,6.4605,0.7775,189.1268,13.7523
battery,2.8523,13.3935,0.9960,290.8320,17.0538
transmission,1.2977,5.2906,0.8806,45.0821,6.7143
offwind,10.1601,11.6485,0.9729,297.6030,17.2512
wind,1.6737,15.9098,0.9760,428.4307,20.6986
tsc,1.0505,2.0881,0.9401,9.5874,3.0964
gini,12.7088,0.0365,-0.0105,0.0024,0.0491
