carrier,mape,mae,r2,mse,rmse
onwind,2.9120,24.9387,0.9780,1178.0190,34.3223
solar,3.1307,15.3118,0.9639,393.6258,19.8400
H2,4.4560,1.7179,0.9908,5.3011,2.3024
battery,4.3688,11.4836,0.9851,257.7638,16.0550
transmission,1.2511,5.6009,0.7699,49.6303,7.0449
offwind,10.1297,13.7279,0.9685,396.9280,19.9231
wind,1.4639,14.5211,0.9780,342.5753,18.5088
tsc,0.4966,0.9763,0.9875,1.7201,1.3115
gini,13.6282,0.0367,-0.0130,0.0019,0.0441
