carrier,mape,mae,r2,mse,rmse
onwind,0.4403,4.8679,0.9905,42.9777,6.5557
solar,1.3804,8.6670,0.9876,153.7399,12.3992
H2,2.8814,2.8214,0.9767,13.9542,3.7355
battery,4.5890,6.9989,0.9832,99.3793,9.9689
transmission,0.7050,3.2519,0.9066,20.1511,4.4890
offwind,201.8904,0.1475,0.0259,0.8089,0.8994
wind,0.4331,4.7882,0.9910,40.5095,6.3647
tsc,0.4541,0.9266,0.9890,1.6081,1.2681
gini,15.3267,0.0367,-0.0119,0.0021,0.0461
