carrier,mape,mae,r2,mse,rmse
onwind,3.1507,28.2265,0.9807,1224.3232,34.9903
solar,1.3690,7.5743,0.9784,104.1276,10.2043
H2,2.2803,3.6076,0.9774,21.1406,4.5979
battery,14.2753,12.3449,0.9419,307.6099,17.5388
transmission,1.1035,2.0139,0.9369,6.4647,2.5426
offwind,7.9751,13.9896,0.9718,313.4444,17.7044
wind,1.5500,16.6048,0.9815,427.4649,20.6752
tsc,0.4717,0.9627,0.9878,1.7154,1.3097
gini,16.2035,0.0119,-0.1162,0.0002,0.0155
